GO	OOB	AUC
GO_0005488	0.37035175879397	0.651100990927193
GO_0005515	0.394974874371859	0.640085525431844
GO_0007267	0.417587939698492	0.598354246621564
GO_0007268	0.436683417085427	0.589544601825876
GO_0009653	0.418090452261307	0.605858178912414
GO_0009966	0.422110552763819	0.594331035750762
GO_0010604	0.407035175879397	0.611371467883513
GO_0010647	0.419095477386935	0.603422027496235
GO_0023052	0.429145728643216	0.600060007212988
GO_0023056	0.418090452261307	0.59952206376322
GO_0030054	0.424120603015075	0.595728678497719
GO_0032501	0.389447236180905	0.629412020232736
GO_0032502	0.4	0.62121305490256
GO_0032844	0.440201005025126	0.589319827332781
GO_0034702	0.432663316582915	0.603729640229482
GO_0042391	0.41105527638191	0.610761293529222
GO_0042995	0.411557788944724	0.605251540336667
GO_0044699	0.392462311557789	0.634565164903662
GO_0044700	0.426130653266332	0.596348449965198
GO_0044707	0.391959798994975	0.633506451785618
GO_0044767	0.41608040201005	0.613907631321341
GO_0045211	0.426633165829146	0.594797758518448
GO_0046903	0.428643216080402	0.582157350226946
GO_0048513	0.441206030150754	0.584848582809449
GO_0048522	0.403015075376884	0.618948136190109
GO_0048731	0.418090452261307	0.60352102929544
GO_0048856	0.402010050251256	0.618038935993316
GO_0048869	0.417587939698492	0.609440427687773
GO_0051128	0.422613065326633	0.608001365820741
GO_0051179	0.412060301507538	0.620331130711672
GO_0051962	0.423115577889447	0.597991576765288
GO_0055080	0.395979899497487	0.610921918897322
GO_0060341	0.415577889447236	0.607515953937897
GO_0097060	0.424120603015075	0.594384577540128
GO_0097458	0.412562814070352	0.615088581354728
GO_0098590	0.423115577889447	0.604891396036493
GO_0098771	0.418090452261307	0.606451684596431
GO_0098796	0.417587939698492	0.608939357357096
GO_0098797	0.423115577889447	0.59872954425835
GO_1902495	0.415577889447236	0.602259261466783
GO_1990351	0.420603015075377	0.600225178582072
GO_0007167	0.437185929648241	0.588246465989346
GO_0022603	0.430150753768844	0.585636051202114
GO_0038179	0.443718592964824	0.580676364128618
GO_0044456	0.420100502512563	0.600901522506241
GO_0045595	0.414572864321608	0.617151455579004
GO_0045597	0.406030150753769	0.618554654549385
GO_0048518	0.38894472361809	0.630353042436414
GO_0050793	0.390452261306533	0.624090168414184
GO_0050794	0.390954773869347	0.641030588525288
GO_0051094	0.41356783919598	0.621047883533476
GO_0051240	0.406532663316583	0.619855821053237
GO_0051960	0.432663316582915	0.59510941214146
GO_0065007	0.390954773869347	0.643511694840087
GO_2000026	0.398994974874372	0.627915880797792
GO_0007154	0.419095477386935	0.597541017556656
GO_0009719	0.423618090452261	0.607165406750913
GO_0010646	0.420603015075377	0.603137649879127
GO_0023051	0.417587939698492	0.608004901599283
GO_0032879	0.412060301507538	0.610443578571566
GO_0044459	0.390452261306533	0.63747157486607
GO_0044763	0.403517587939698	0.635202110152634
GO_0048519	0.398994974874372	0.624788737232051
GO_0048583	0.414572864321608	0.601830422040629
GO_0050896	0.408542713567839	0.623672441434879
GO_0098589	0.420100502512563	0.611901329553754
GO_0007165	0.418090452261307	0.611981642237805
GO_0007166	0.410050251256281	0.61812278445591
GO_0050789	0.379899497487437	0.644741135550638
GO_0051239	0.396984924623116	0.62621214065125
